Title	Rate	Price	Merchant	ProductUrl	ImageUrl	Description
Xiaomi Redmi Note 12 4/128GB + 6/128GB + 8/128GB Garansi Resmi	5	1954000	duniagadgetku	https://www.tokopedia.com/duniagadgetku/xiaomi-redmi-note-12-4-128gb-6-128gb-8-128gb-garansi-resmi-4-128-promo?extParam=cmp%3D1%26ivf%3Dtrue	data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC	"Baru dan Segel ~Garansi Resmi ~|IMEI Terdaftar ~NETWORK Technology GSM / HSPA / LTELAUNCH Announced 2023, March 23Status Available. Released 2023, March 30BODY Dimensions 165.7 x 76 x 7.9 mm (6.52 x 2.99 x 0.31 in)Weight 183.5 g (6.49 oz)SIM Dual SIM (Nano-SIM, dual stand-by)  IP53, dust and splash resistantDISPLAY Type AMOLED, 120Hz, 450 nits (typ), 700 nits (HBM), 1200 nits (peak)Size 6.67 inches, 107.4 cm2 (~85.3% screen-to-body ratio)Resolution 1080 x 2400 pixels, 20:9 ratio (~395 ppi density)Protection Corning Gorilla Glass 3PLATFORM OS Android 13, MIUI 14Chipset Qualcomm SM6225 Snapdragon 685 (6 nm)CPU Octa-core (4x2.8 GHz Cortex-A73 & 4x1.9 GHz Cortex-A53)GPU Adreno 610MEMORY Card slot microSDXC (dedicated slot)Internal 64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM  UFS 2.2MAIN CAMERA Triple 50 MP, f/1.8, (wide), 1/2.76"", 0.64µm, PDAF8 MP, f/2.2, 120˚ (ultrawide), 1/4"", 1.12µm2 MP, f/2.4, (macro)Features LED flash, HDR, panoramaVideo 1080p@30fpsSELFIE CAMERA Single 13 MP, f/2.5, (wide), 1/3.0""Features HDRVideo 1080p@30fpsSOUND Loudspeaker Yes3.5mm jack YesCOMMS WLAN Wi-Fi 802.11 a/b/g/n/ac, dual-bandBluetooth 5.0, A2DP, LEPositioning GPS, GLONASS, GALILEONFC Yes (market/region dependent)Infrared port YesRadio UnspecifiedUSB USB Type-C 2.0, OTGFEATURES Sensors Fingerprint (side-mounted), accelerometer, gyro, proximity, compassBATTERY Type Li-Po 5000 mAh, non-removableCharging 33W wired"
Xiaomi Redmi Note 12	5	1895500	jikalaku	https://www.tokopedia.com/jikalaku/xiaomi-redmi-note-12-mint-green-promo-4gb-128gb?extParam=cmp%3D1%26ivf%3Dfalse	data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC	"LayarDotDisplay AMOLED 6,67"" FHD+Refresh rate: 120 HzTouch sampling rate: Hingga 240 HzResolusi: 2.400 x 1.080Mode bacaSunlight displayKamera belakangKamera utama 50 MPKamera ultra-wide 8 MPKamera makro 2 MPKamera depanKamera depan 13 MPChipsetSnapdragon 685CPU: CPU octa-core, hingga 2,8 GHzGPU: Adreno 610Memori4/128GB - 6/128GB - 8/128GBBaterai5.000 mAh (umum)Pengisian daya cepat 33 W USB CSensor sidik jari sampingAI Face UnlockKonektivitasDua SIM + microSDTahan Air & DebuIP53Support NFC SensorSensor jarak | Sensor cahaya sekitar | Akselerometer | Kompas elektrik | IR Blaster | GiroskopAudioJack headphone 3,5 mmMIUI 14 berbasis Android 13"
SONY XPERIA 1 SEKEN ORIGNAL MULUS MANTAP	4.9	1300000	GoldenCityCell	https://www.tokopedia.com/goldencitycell/sony-xperia-1-seken-orignal-mulus-mantap-wifi-only-95-shd-tebal-da02a?extParam=ivf%3Dfalse	data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC	"(9_@)SONY XPERIA 1 6-64GB SEKEN ORIGNAL DOCOMO . AU . SOFTBANK.Fisik: 95-98% Mulus ALL SIM ON # KELENGKAPAN UNIT ONLYWarna: GREY  , SILVER , HITAM , BIRU UNGU(^_@)# GOJEK/GRAB setiap hari Batas jam 19:00 lewat kirim besok# Orderan dikirim pada hari yang sama.# Buka Senin/Sabtu jam 10:30 tutup jam 19:00.# Minggu tutup jam 14:00 BISA ORDER 24JAM# Returan Ongkir Full adalah Tanggungan Pembeli# Terima Paket Dari Kurir Cek Paket Rusak Atau Tidak,Kalau Rusak Ditolak Aja.# Unit Tiba Perlu Unboxing Video Awal Sampai Akhir.Hindari Kehilangan Unit Dan Kerusakan Unit.# Bila Unit Ada goresan halus debu wajar di karena unit bekas bukan baru(@_9)Specifikasi :- 4G LTE- Single (Nano SIM)- Dimensions 167 x 72 x 8.2 mm (6.57 x 2.83 x 0.32 in)- Display 6.5""- Qualcomm Snapdragon 855- MicroSD slot- System Android 10 up to 11- Kamera Belakang 12MP(@_@)# Garansi Sejak Barg Diterima-## Unit 1 Minggu Dan Imei Jaringan 1 Bulan NO PERMANEN# kalau tidak cantumkan warna maka di kirim bebas warna oleh kami.(@_@)Garansi Seminggu Terhitung Setelah Paket di terima# ketentuan garansi yg tidak berlaku seperti :# Jatuh mengakibatkan HP Lecet / pecah# Terkena cairan/air# Segel Rusak / hilang , hangus garansi.# BUKAN GARANSI ANTI AIR!!# Feed Back Bintang 1,Koment Negatif Garansi Hangus VOID VOID VOID(^_@)# HAPPY HAPPY SHOPING DI GCC# TERIMA KASIH"
Nokia 150 (2020) – Black	0	450000	Nokia Mobile Official	https://www.tokopedia.com/nokia-mobile/nokia-150-2020-black?extParam=ivf%3Dfalse	data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC	• Brand Nokia• Warna Black• Informasi Tambahan • Ukuran132 x 50.5 x 15 mm• Berat90.54 g• Sistem operasiSeri 30+• RAM4 MB• CPUMTK• Jenis kabelMicro USB (USB 2.0)• Kartu SIMDual SIM, Mini-SIM• KameraVGA dengan flash• Baterai1020 mAh, dapat dilepas• Penyimpanan internal4 MB• Slot kartu MicroSDMendukung hingga 32 GB• Ukuran dan jenis layar2.4” QVGA• AudioJack headphone 3,5 mm, radio FM, pemutar MP3• JaringanGSM 900/1800• KoneksiBluetooth® 3.0• Waktu bicaraHingga 19.4 jam• Waktu siagaHingga 23.4 hari• Dalam kotakPerangkat Nokia 150, baterai, pengisi daya USB mikro, panduan menggunakan perangkat.Dapatkan point eraclub setiap pembelian di Nokia Mobile Official dengan cara sbb :1. Login ke https://eraclub.id/account, lalu pilih Klaim Transaksi2. Masukkan no Invoice /No OrderNote : Alamat email yang digunakan untuk transaksi di Nokia Mobile Official harus sama dengan email yang didaftarkan di eraclub.
Infinix Note 30 8/256GB - Up To 16GB - 120 HZ Screen - 8/256	0	2149000	Infinix Official Store	https://www.tokopedia.com/officialinfinix/infinix-note-30-8-256gb-up-to-16gb-120-hz-screen-8-256-stellar-blue?extParam=ivf%3Dfalse	data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC	"1 Unit Infinix Note 30 8/256GB, 1 x Adaptor Charger, 1 x USB Type C Cable Data, 1 x SIM Ejector, 1 x Case, 1 x Screen Protector, 1 x Warranty Card, 1 x User Guide""Product Description:•        Dimension : 168.62*76.6*8.6mm•        Weight : 219g•        Processor : Mediatek Helio G99•        Operating System : Android 13•        Ram : 8+8GB•        Rom : 256GB•        External Memory : Up to 1TB•        Display : 6.78"""" FHD+ 120HZ•        Battery : 5000 mAh •        Network : 4G/3G/2G•        Camera : 64 + 2MP Dual Camera•        Video : 1080P@30FPS"""
Official Xiaomi POCO X5 Pro 5G (6GB/128GB) | (8GB/256GB) Snapdragon	4.9	3999000	Xiaomi Official Store	https://www.tokopedia.com/xiaomi/official-xiaomi-poco-x5-pro-5g-6gb-128gb-8gb-256gb-snapdragon-kuning-6gb-128gb-ddb2e?extParam=ivf%3Dfalse	data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC	Official POCO X5 Pro 5G Warna : Black, Blue, Yellow Processor:- Snapdragon 778G- CPU: Octa-core CPU, up to 2.4GHz- GPU: Qualcomm Adreno 642LRAM/Storage:- 6GB+5GB*/128GB, 8GB+5GB*/256GB- Dynamic RAM expansion 3.0*Dynamic expansion RAM perlu dibuka di pengaturan, dan penyimpanan tambahan harus dipilih sesuai dengan kapasitas kosong smartphone saat iniLayar : 6.67” FHD+ Flow AMOLED Dot Display- Resolution: 2400 x 1080- Refresh rate : Up to 120Hz- Reading Mode- Sunlight DisplayKamera belakang:108MP wide camera8MP ultra-wide camera2MP macro camera2MP depth cameraKualitas Video:- 4K 3840 x 2160 | 30fps - 1080p 1920 x 1080 | 60fps- 1080p 1920 x 1080 | 30fps- 720p 1280 x 720 | 30fps Fitur video kamera belakangVLOGGerakan lambatTime-lapseKamera Depan : 16MP (f/2.4)Kualitas Video:- 1080p 1920 x 1080 | 60fps- 1080p 1920 x 1080 | 30fps- 720p 1280 x 720 | 30fps Baterei & pengisian daya- 5000mAh (typ)- 67W turbo chargingIP53 splash-proof protectionKeamanan:Sensor sidik jari di bagian sampingAI Face UnlockNFCMendukung Google Pay*Fungsi mungkin berbeda di beberapa pasar.Dimensi:Panjang: 162.91mmLebar: 76.03mmKetebalan: 7.9mmBerat: 181g*Data disediakan oleh laboratorium internal. Metode pengukuran industri mungkin berbeda, sehingga hasil sebenarnya dapat berbeda.Konektivitas: - Dual SIM, dual standby: 5G+5Frekuensi jaringan:Mendukung 5G/4G/3G/2G*Konektivitas 5G mungkin berbeda tergantung ketersediaan di wilayah dan dukungan operator setempat.Jaringan Nirkabel :Bluetooth 5.2Audio: Dual Speakers 3.5mm headphone jackVideo :MP4丨M4V丨MKV丨AVI丨WMV丨WEBM丨3GP丨3G2丨ASFSensor :Sensor jarak | Sensor cahaya ambien | Akselerometer | Kompas elektronik | IR Blaster ｜GiroskopSistem Operasi : MIUI 14 for POCOPOCO Official Store Garansi Resmi, IMEI Resmi Terdaftar di IMEI KEMENPERINIsi Kemasan :POCO X5 Pro 5G AdaptorKabel USB type CAlat pembuka SIM Kartu garansi Panduan pengguna#POCONYABERAKSI bookmarkPOCO Stiker
REALME C51 4/128 RAM 4GB ROM 128GB GARANSI RESMI	4.9	1499000	Ini Toko Budi	https://www.tokopedia.com/initokobudi/realme-c51-4-128-ram-4gb-rom-128gb-garansi-resmi-4-64-black-promo-146f7?extParam=ivf%3Dfalse	data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC	Ready StockRealme C51 NFC Ram 4GB/64GB+128GBGaransi Resmi Realme 1 TahunPenting :- Garansi RESMI- IMEI Pasti terdaftarKelengkapan :- Handphone- Charger- Kabel USB- Buku Panduan- Kartu GaransiSpesifikasi :Tahun Rilis  2023Jaringan  2G, 3G, 4GSIM Card  Dual SIM (Slot Khusus)eSIM  TidakBODY Dimensi  167.2 x 76.7 x 7.99 mmBerat  186 gramLAYAR UTAMAJenis  IPS LCDUkuran  6.7 inciRefresh Rate  90 HzResolusi  720 x 1600 pikselRasio  20:9Kerapatan  262 ppiProteksi  -Fitur Lainnya  - Touch sampling rate 180 Hz- Tingkat kecerahan: 560 nit (puncak)- Mini Capsule (notifikasi ala Dynamic Island)HARDWAREChipset  UNISOC Tiger T612CPU  Octa-core (2x1.8 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55)GPU  Mali-G57MEMORIRAM  4 GBMemori Internal  128 GBMemori Eksternal  Ada (Slot Khusus)KAMERA UTAMAJumlah Kamera  2Konfigurasi  50 MP (wide), f/1.82 MP (depth), f/2.4Fitur  AF, LED flash, HDR, panorama, Video: 1080p@30fpsKAMERA DEPANJumlah Kamera  1Konfigurasi  5 MP (wide), f/2.2Fitur  Video: 720p@30fpsKONEKTIVITASWLan  Wi-Fi 802.11 a/b/g/n/ac, dual-bandBluetooth  5.0, A2DP, LEInfrared  Tidak AdaNFC  Tidak AdaGPS  GPS, A-GPS, GLONASS, GALILEO,USB  Tipe-C 2.0, USB On-The-GoBATERAIJenis  Li-PoKapasitas  5000 mAhFitur  Pengisian cepat 33WFITUROS (Saat Rilis)  Android 13, Realme UI TSensor  Fingerprint (di bodi samping), akselerometer, cahaya, proksimitas, giroskop (virtual), kompasJack 3.5mm  AdaWarna  Mint Green, Carbon BlackFitur Lainnya  - Dynamic RAM hingga 4 GBHappy Shopping Guys
Samsung Galaxy A04e 3/32GB	0	1199500	Samsung Official Store	https://www.tokopedia.com/samsung/samsung-galaxy-a04e-3-32gb-black?extParam=cmp%3D1%26ivf%3Dfalse	data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC	"""Awesome offers!*Periode: Oktober 2023- Free Youtube Premium 2 bulan (118K)*Syarat & ketentuan berlaku. Klaim melalui aplikasi Samsung Gift Indonesia.""Spesifikasi:- Processor : MediaTek Helio P35- Size : 6.5""- Technology : HD+ PLS HD- Resolution : HD+ - Rear Camera Resolution : 13 MP + 2 MP- Main Camera Auto Focus : Yes- Rear Camera - OIS : No- Rear Camera - Zoom : Yes- Front Camera Resolution : 5.0 MP- Front Camera Auto Focus : No- Video Resolution : FHD (1920 x 1080) @30fps- RAM : 3 GB- ROM : 32 GB- SIM Tray : Dual-SIM- Network Type :4G- USB Interface : USB Type-C- USB Version : USB 2.1- Earjack : 3.5mm Stereo- Bluetooth Version : Bluetooth v5.1- NFC : No- Battery Capacity : 5000MaH "
XIAOMI OFFICIAL POCO M5s MediaTek Helio G95 Dotdisplay AMOLED FHD+ NFC	4.9	2299000	Xiaomi Official Store	https://www.tokopedia.com/xiaomi/xiaomi-official-poco-m5s-mediatek-helio-g95-dotdisplay-amoled-fhd-nfc-4-64gb-blue?extParam=ivf%3Dfalse	data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC	"XIAOMI OFFICIAL POCO M5s MediaTek Helio G95 Dotdisplay AMOLED FHD+ NFC   Masa Garansi : 15 BulanXiaomi Official Store Garansi Resmi, IMEI Resmi Terdaftar di IMEI KEMENPERINPOCO M5s dilengkapi dengan Kamera resolusi tinggi 64 MP mampu menghasilkan gambar mengagumkan dan sejernih kristal. 2MP depth kamera, 2MP kamera makro, 118 kamera ultra wide  .POCO M5s menggunakan Dotdisplay AMOLED 6,43. Dengan gambar yang jernih, warna yang memukau, dan kecerahan yang mengagumkan, DotDisplay AMOLED yang terdepan di kelasnya akan memastikan pengalaman visual yang lebih baik. Corning Gorilla Glass Perlindungan lebih tangguh.POCO M5s dibekali dengan prosesor octa-core MediaTek Helio G95 yang menggunakan dua core Cortex-A76 dengan performa tinggi, serta GPU Mali-G76 MC4 yang canggih. RAM hingga 6GB, ROM hingga 128GB, Penyimpanan yang dapat ditambah hingga 1TB.POCO M5s dilengkapi dengan baterai berkapasitas tinggi 5000mAh. 37 jam menelepon, 30 hari waktu siaga, 11 jam memutar video, 19 jambermain game. Pengisian daya cepat 33W. POCO M5s memiliki desain melengkung 3D ramping dan elegan. Tersedia dalam 3 warna Grey, Blue, White. Tahan dari cipratan dan debu dengan kelas IP53POCO M5s memiliki fitur canggih lainnya seperti NFC, IR Blaster, MIUI 13 berbasis Android 12, Sensor sidik jari di bagian samping, Jack headphone 3,5mm.Prosesor: MediaTek Helio G95Kamera: 64MP Quad KameraLayar: Dotdisplay AMOLED FHD+ 6,43""Baterai: 5000mAhNFCIsi KemasanPOCO M5s / Kabel USB Tipe-C / Alat Pembuka Kartu SIM / Casing Pelindung / Panduan Memulai Cepat / Kartu Garansi / Informasi KeselamatanHi Mi Fans,Demi kenyamanan dan keamanan berbelanja.. mohon bantu kami yaa.1. Menyertakan video unboxing ketika komplain2. Rekam video dengan jelas sebelum membuka paket3. Mohon maaf, kami tidak menerima video yang direkam setelah paket dibuka serta video editan atau terputus-putus4. Jangan lupa kasih review dan rate bintangnya ya"
iPhone 13 Pro Max 128GB 256GB 512GB 1TB Sierra Blue Graphite Gold Silv	5	17499000	Putra Group	https://www.tokopedia.com/putragroup/iphone-13-pro-max-128gb-256gb-512gb-1tb-sierra-blue-graphite-gold-silv-ibox-128gb-alphine-green?extParam=ivf%3Dfalse	data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC	Mau ORDER iPhone 14?https://www.tokopedia.com/putragroup/etalase/apple-iphone-14Iphone 13 Pro MaxLayar : 6.7 inch Memori : 128 GB - 256 GB - 512 GB - 1 TBWarna : Sierra Blue - Graphite - Silver - Gold - Alphine GreenVersi INTER Garansi IMEI 1 tahun bagi yg kasi bintang 5SIMCARD: - IBOX ( Nano + eSim ) - INTER ( Single Nano TANPA esim )- DUAL NANO ( Nano + Nano )- Garansi Apple International 1 Tahun- BNIB (Brand New In Box)- Di Dalam box: Unit iPhone + USB-C to Lightning CableBaca ulasan2 pembeli lain nya biar kalian yakin belanja disini :https://www.tokopedia.com/putragroup/reviewSekilas info Putra Group :1. Positif review 99 % dr 100 % kepuasan customer2. Sudah melayani 15,000 ++ customer secara online3. Garansi Resmi Apple 1 Tahun4. Brand new - Original - Segel5. After sales yg siap melayani anda selama 24 jamApple 20W USB Fast Charger- C Power Adapterhttps://www.tokopedia.com/putragroup/original-apple-20w-20-w-fast-charging-usb-c-power-adapter-segelBenks Anti Spy Tempered Glasshttps://www.tokopedia.com/putragroup/original-benks-anti-spy-iphone-13-pro-max-13-pro-tempered-glassBenks Premium Tempered Glasshttps://www.tokopedia.com/putragroup/original-benks-king-kong-iphone-13-pro-max-13-pro-tempered-glass-13-13-proBenks Premium Clear Case Magsafehttps://www.tokopedia.com/putragroup/original-benks-iphone-13-pro-max-13-pro-clear-case-support-magsafe-13-pro-maxBenks Camera Protectorhttps://www.tokopedia.com/putragroup/original-benks-camera-protector-for-iphone-13-pro-max-13-pro-13-proBenks Metal Lenshttps://www.tokopedia.com/putragroup/original-benks-metal-lens-camera-protector-iphone-13-pro-max-13-proMagSafe Wireless Chargerhttps://www.tokopedia.com/putragroup/apple-magsafe-charger-20w-wireless-charging-mag-safe-for-iphone-12Other Apple Acchttps://www.tokopedia.com/putragroup/etalase/other-apple-acc
